Image,Ear_Detected,Area_Percent,Num_Detections,Guide_Generated
2D EAR 1.jpg,True,13.66,1,Yes
2D EAR 2.jpg,True,19.00,1,Yes
2D EAR 3.jpg,True,12.97,1,Yes
2D EAR 4.jpg,True,9.05,1,Yes
2D EAR 5.jpg,True,12.22,1,Yes
