Image,Ear_Detected,Area_Percent,Num_Detections,Guide_Generated
86gr (9).png,False,0.00,0,No
86gr.png,False,0.00,0,No
86rfb (10).png,False,0.00,0,No
86rfb (11).png,True,13.74,2,Yes
86rfb (12).png,False,0.00,0,No
86rfb (13).png,True,27.22,1,Yes
86rfb (2).png,False,0.00,0,No
86rfb (3).png,False,0.00,0,No
86rfb (4).png,False,0.00,0,No
86rfb (5).png,False,0.00,0,No
86rfb (6).png,False,0.00,0,No
86rfb (7).png,False,0.00,0,No
86rfb (8).png,False,0.00,0,No
86rfb (9).png,False,0.00,0,No
86rfb.png,False,0.00,0,No
87gr (10).png,False,0.00,0,No
87gr (11).png,False,0.00,0,No
87gr (12).png,False,0.00,0,No
87gr (13).png,False,0.00,0,No
87gr (2).png,False,0.00,0,No
87gr (3).png,False,0.00,0,No
87gr (4).png,False,0.00,0,No
87gr (5).png,False,0.00,0,No
87gr (6).png,False,0.00,0,No
87gr (7).png,False,0.00,0,No
87gr (8).png,False,0.00,0,No
87gr (9).png,False,0.00,0,No
87gr.png,False,0.00,0,No
87rfb (10).png,False,0.00,0,No
87rfb (11).png,False,0.00,0,No
87rfb (12).png,False,0.00,0,No
87rfb (13).png,True,18.37,2,Yes
87rfb (2).png,False,0.00,0,No
87rfb (3).png,False,0.00,0,No
87rfb (4).png,False,0.00,0,No
87rfb (5).png,True,27.16,1,Yes
87rfb (6).png,False,0.00,0,No
87rfb (7).png,False,0.00,0,No
87rfb (8).png,False,0.00,0,No
87rfb (9).png,True,19.97,1,Yes
87rfb.png,True,16.34,4,Yes
88gr (10).png,False,0.00,0,No
88gr (11).png,False,0.00,0,No
88gr (12).png,False,0.00,0,No
88gr (13).png,False,0.00,0,No
88gr (2).png,False,0.00,0,No
88gr (3).png,False,0.00,0,No
88gr (4).png,False,0.00,0,No
88gr (5).png,True,21.66,1,Yes
88gr (6).png,False,0.00,0,No
88gr (7).png,False,0.00,0,No
88gr (8).png,False,0.00,0,No
88gr (9).png,False,0.00,0,No
88gr.png,False,0.00,0,No
88rfb (10).png,False,0.00,0,No
88rfb (11).png,True,19.53,2,Yes
88rfb (12).png,True,19.73,1,Yes
88rfb (13).png,True,26.91,2,Yes
88rfb (2).png,False,0.00,0,No
88rfb (3).png,False,0.00,0,No
88rfb (4).png,True,17.48,1,Yes
88rfb (5).png,False,0.00,0,No
88rfb (6).png,False,0.00,0,No
88rfb (7).png,False,0.00,0,No
88rfb (8).png,True,25.01,1,Yes
88rfb (9).png,False,0.00,0,No
88rfb.png,True,17.27,2,Yes
89gr (10).png,False,0.00,0,No
89gr (11).png,False,0.00,0,No
89gr (12).png,True,17.65,1,Yes
89gr (13).png,False,0.00,0,No
89gr (2).png,False,0.00,0,No
89gr (3).png,False,0.00,0,No
89gr (4).png,False,0.00,0,No
89gr (5).png,False,0.00,0,No
89gr (6).png,True,19.71,1,Yes
89gr (7).png,True,17.74,1,Yes
89gr (8).png,False,0.00,0,No
89gr (9).png,False,0.00,0,No
89gr.png,False,0.00,0,No
