Image,Ear_Detected,Area_Percent,Num_Detections
82gr (8).png,False,0.00,0
82gr (9).png,False,0.00,0
82gr.png,True,16.23,1
82rfb (10).png,False,0.00,0
82rfb (11).png,False,0.00,0
82rfb (12).png,False,0.00,0
82rfb (13).png,False,0.00,0
82rfb (2).png,False,0.00,0
82rfb (3).png,False,0.00,0
82rfb (4).png,True,18.37,1
82rfb (5).png,True,25.11,2
82rfb (6).png,False,0.00,0
82rfb (7).png,True,15.48,1
82rfb (8).png,False,0.00,0
82rfb (9).png,True,24.22,3
82rfb.png,True,15.05,2
83gr (10).png,False,0.00,0
83gr (11).png,False,0.00,0
83gr (12).png,True,20.28,2
83gr (13).png,False,0.00,0
83gr (2).png,False,0.00,0
83gr (3).png,False,0.00,0
83gr (4).png,True,24.31,1
83gr (5).png,False,0.00,0
83gr (6).png,False,0.00,0
83gr (7).png,False,0.00,0
83gr (8).png,False,0.00,0
83gr (9).png,False,0.00,0
83gr.png,False,0.00,0
83rfb (10).png,True,24.47,1
83rfb (11).png,False,0.00,0
83rfb (12).png,True,22.20,2
83rfb (13).png,False,0.00,0
83rfb (2).png,True,23.57,1
83rfb (3).png,True,17.65,1
83rfb (4).png,True,24.24,1
83rfb (5).png,False,0.00,0
83rfb (6).png,True,21.15,1
83rfb (7).png,True,16.96,1
83rfb (8).png,False,0.00,0
83rfb (9).png,False,0.00,0
83rfb.png,False,0.00,0
84gr (10).png,False,0.00,0
84gr (11).png,False,0.00,0
84gr (12).png,False,0.00,0
84gr (13).png,False,0.00,0
84gr (2).png,False,0.00,0
84gr (3).png,False,0.00,0
84gr (4).png,False,0.00,0
84gr (5).png,False,0.00,0
84gr (6).png,False,0.00,0
84gr (7).png,True,17.92,1
84gr (8).png,False,0.00,0
84gr (9).png,False,0.00,0
84gr.png,False,0.00,0
84rfb (10).png,False,0.00,0
84rfb (11).png,False,0.00,0
84rfb (12).png,True,21.24,2
84rfb (13).png,True,24.33,1
84rfb (2).png,True,18.58,1
84rfb (3).png,False,0.00,0
84rfb (4).png,False,0.00,0
84rfb (5).png,True,23.56,1
84rfb (6).png,True,24.04,1
84rfb (7).png,True,19.95,1
84rfb (8).png,False,0.00,0
84rfb (9).png,True,24.85,1
84rfb.png,True,22.76,1
85gr (10).png,False,0.00,0
85gr (11).png,False,0.00,0
85gr (12).png,False,0.00,0
85gr (13).png,False,0.00,0
85gr (2).png,False,0.00,0
85gr (3).png,False,0.00,0
85gr (4).png,False,0.00,0
85gr (5).png,False,0.00,0
85gr (6).png,False,0.00,0
85gr (7).png,False,0.00,0
85gr (8).png,False,0.00,0
85gr (9).png,False,0.00,0
85gr.png,False,0.00,0
85rfb (10).png,False,0.00,0
85rfb (11).png,True,23.44,1
85rfb (12).png,True,18.10,1
85rfb (13).png,True,23.12,1
85rfb (2).png,False,0.00,0
85rfb (3).png,False,0.00,0
85rfb (4).png,False,0.00,0
85rfb (5).png,False,0.00,0
85rfb (6).png,False,0.00,0
85rfb (7).png,False,0.00,0
85rfb (8).png,True,12.51,1
